date,TP,TN
2023-01-01,0.042,0.39
2023-01-02,0.037,0.39
2023-01-03,0.086,0.77
2023-01-04,0.06,0.54
2023-01-05,0.046,0.5
2023-01-06,0.045,0.43
2023-01-07,0.043,0.39
2023-01-08,0.05,0.68
2023-01-09,0.14,1.47
2023-01-10,0.084,1.1
2023-01-11,0.071,1.22
2023-01-12,0.075,1.01
2023-01-13,0.093,1.36
2023-01-14,0.068,0.9
2023-01-15,0.072,1.02
2023-01-16,0.064,1.08
2023-01-17,0.068,1.22
2023-01-18,0.069,1.48
2023-01-19,0.068,1.27
2023-01-20,0.064,1.21
2023-01-21,0.066,1.27
2023-01-22,0.073,1.5
2023-01-23,0.081,1.44
2023-01-24,0.063,1.22
2023-01-25,0.077,1.41
2023-01-26,0.086,1.52
2023-01-27,0.091,1.61
2023-01-28,0.079,1.39
2023-01-29,0.065,1.24
2023-01-30,0.07,1.24
2023-01-31,0.066,1.91
2023-02-01,0.066,1.24
2023-02-02,0.07,1.37
2023-02-03,0.077,1.89
2023-02-04,0.077,1.83
2023-02-05,0.123,1.69
2023-02-06,0.079,1.49
2023-02-07,0.084,1.52
2023-02-08,0.069,1.27
2023-02-09,0.068,1.5
2023-02-10,0.098,1.63
2023-02-11,0.09,1.85
2023-02-12,0.066,1.56
2023-02-13,0.089,1.59
2023-02-14,0.064,1.39
2023-02-15,0.067,2.17
2023-02-16,0.076,2.29
2023-02-17,0.057,1.59
2023-02-18,0.055,1.33
2023-02-19,0.058,1.2
2023-02-20,0.054,1.24
2023-02-21,0.061,1.18
2023-02-22,0.059,1.11
2023-02-23,0.055,1.38
2023-02-24,0.064,1.31
2023-02-25,0.055,0.86
2023-02-26,0.062,1.42
2023-02-27,0.062,0.99
2023-02-28,0.055,0.99
2023-03-01,0.05,0.83
2023-03-02,0.054,0.65
2023-03-03,0.064,0.62
2023-03-04,0.057,0.84
2023-03-05,0.058,0.72
2023-03-06,0.064,0.73
2023-03-07,0.063,0.71
2023-03-08,0.059,0.67
2023-03-09,0.065,0.83
2023-03-10,0.06,0.63
2023-03-11,0.069,0.82
2023-03-12,0.077,1.23
2023-03-13,0.064,0.77
2023-03-14,0.058,0.78
2023-03-15,0.061,0.81
2023-03-16,0.065,0.77
2023-03-17,0.07,0.87
2023-03-18,0.067,1.16
2023-03-19,0.063,0.44
2023-03-20,0.06,0.44
2023-03-21,0.069,0.7
2023-03-22,0.072,0.85
2023-03-23,0.166,1.54
2023-03-24,0.183,2.27
2023-03-25,0.237,2.12
2023-03-26,0.075,1.74
2023-03-27,0.092,1.33
2023-03-28,0.078,1.2
2023-03-29,0.096,1.28
2023-03-30,0.092,1.19
2023-03-31,0.06,1.17
2023-04-01,0.059,1.08
2023-04-02,0.088,1.09
2023-04-03,0.072,1.17
2023-04-04,0.154,1.41
2023-04-05,0.136,1.41
2023-04-06,0.058,1.21
2023-04-07,0.049,1.06
2023-04-08,0.049,0.87
2023-04-09,0.048,0.85
2023-04-10,0.045,0.79
2023-04-11,0.047,0.7
2023-04-12,0.048,0.69
2023-04-13,0.068,0.7
2023-04-14,0.062,0.57
2023-04-15,0.153,0.67
2023-04-16,0.229,0.82
2023-04-17,0.146,0.77
2023-04-18,0.128,0.91
2023-04-19,0.187,1.99
2023-04-20,0.1,1.33
2023-04-21,0.074,0.87
2023-04-22,0.07,0.88
2023-04-23,0.091,1.1
2023-04-24,0.098,1.38
2023-04-25,0.066,0.89
2023-04-26,0.057,0.76
2023-04-27,0.048,0.7
