lambda_api,k_release,train_NSE,train_R2,train_RMSE,val_NSE,val_R2,val_RMSE
0.7,0.03,0.4217751339322672,0.42558643161561427,0.021669346983571078,0.2140451961470563,0.6749122761921876,0.019573812350816962
0.5,0.03,0.4336083893742756,0.4363576474492829,0.02144647140211038,0.19353365776867315,0.6956811146648716,0.01982758213463262
0.5,0.2,0.44367335799247865,0.4470926561189866,0.02125506174711901,0.17353041317460727,0.7109513749065185,0.02007197338650597
0.5,0.1,0.4341246664456416,0.4369249075845657,0.02143669473385731,0.1447272803264198,0.705391665306774,0.020418740229727117
0.5,0.35,0.4455361314193145,0.4500464475016372,0.021219447271846166,0.14146400799262293,0.7149884125929913,0.020457656748052628
0.3,0.2,0.4487733345410586,0.4518081070542652,0.021157412375058884,0.14000526624942833,0.7107237853758254,0.02047502921266223
0.7,0.2,0.4340148306756234,0.43843592293207234,0.021438775052164186,0.13651944246932057,0.7000727700589084,0.020516483051625525
0.3,0.03,0.44307728568427684,0.4456099219453548,0.021266445492656917,0.12347539851557066,0.705866419788015,0.020670866832555514
0.5,0.05,0.43322970636149705,0.4360011455083501,0.021453639638039267,0.11981275862662799,0.7037625767434575,0.02071400938429895
0.5,0.5,0.4373316390762636,0.4413051737988222,0.021375864575572764,0.11888380538448606,0.7162718303315445,0.02072493732714771
0.3,0.35,0.4485384467168023,0.4521277776146073,0.021161919676294775,0.1101284927137769,0.7134726968145466,0.020827650666916296
0.7,0.05,0.4207681357228672,0.42456918597093096,0.021688207726730847,0.10891207760267618,0.6876905641756741,0.02084188104552969
0.7,0.1,0.42244878365132954,0.42623882922416323,0.021656720577745755,0.10633117530002001,0.692758251210015,0.020872041910944376
0.95,0.2,0.45994033076515695,0.46827870813959976,0.020942007692755456,0.10630286669537514,0.6911410659715079,0.020872372488495702
0.3,0.1,0.4431624202792266,0.44575649743384615,0.021264819971401283,0.10598851032476031,0.709229229548999,0.020876043075617228
0.3,0.5,0.4429553609443131,0.44606118576538134,0.021268773251852266,0.09682052434194144,0.716617708694961,0.020982810772941278
0.7,0.35,0.43442023000568375,0.4403582595074752,0.021431095679629638,0.0923252093674447,0.7043022518525255,0.021034963899283825
0.95,0.35,0.46018566227549396,0.4696268641748489,0.020937250516578118,0.08374962763124982,0.6942360264630649,0.021134097965375704
0.95,0.5,0.45879078088874226,0.4681662245574386,0.02096428401392961,0.07069909236974148,0.7009230615811253,0.021284076676441926
0.3,0.05,0.4430943249129329,0.44566089730900926,0.021266120163316023,0.061471546447849135,0.710543482300595,0.021389486376477636
0.7,0.5,0.4227538917740782,0.4280086748840292,0.02165099942776523,0.04348367541886711,0.7052093108694805,0.021593489376705348
0.85,0.03,0.4402461725621255,0.4476020722636956,0.021320430892100152,-0.0006271374627175863,0.6768913589111772,0.022085781569606243
0.85,0.2,0.4428351972541923,0.4500144851555765,0.021271067140246024,-0.02690875639071999,0.6864443791166548,0.022373944821549002
0.95,0.1,0.4638927397414393,0.472870420155855,0.020865235272486196,-0.04422021312592905,0.6897968424385623,0.022561744771481037
0.85,0.35,0.4416881023224454,0.45060940450704273,0.02129295239521074,-0.1000969568886736,0.6897992829678555,0.0231575236267418
0.85,0.1,0.4395177846814621,0.44689685457943124,0.021334298144081387,-0.1100895630753771,0.6836096894200555,0.023262460242779746
0.85,0.05,0.4400761634266003,0.44763884179152075,0.021323668380319915,-0.14054244424037443,0.6825529044808408,0.023579378835168734
0.85,0.5,0.43662231535633933,0.44567151358465834,0.021389333994901543,-0.1778198577081309,0.6953560282887777,0.02396161413369981
0.95,0.03,0.4638140387981263,0.472529203408463,0.020866766732287868,-0.25418594359475954,0.6789237305304716,0.02472621257897156
0.95,0.05,0.46653583277185984,0.4757836846840121,0.020813737276555715,-0.26897987664539413,0.6808319012854706,0.02487161587628231
