parameter,sensitivity,relative_sensitivity
routing_attenuation_coefficient,0.001869645551778376,100.0
surface_partition_coefficient,0.0007932494627311826,42.42779932146266
source_allocation_coefficient,0.0004854947328567505,25.96720712088748
crop_release_coefficient,0.0004229640180710703,22.622684693831616
crop_transport_efficiency,0.0003227802808396518,17.264249928689882
fertilization_timing_coefficient,0.00024074228713288903,12.876359741230038
rainfall_response_coefficient,0.00023559237888548523,12.600911368542215
legacy_release_coefficient,0.00023028919531498104,12.317264900608233
seasonal_coefficient,0.0001821664918679744,9.743370431614732
impervious_transport_efficiency,0.00016358571883756667,8.74955783367423
impervious_release_coefficient,0.00013809328083880246,7.38606741301582
runoff_response_coefficient,3.87108011636883e-05,2.070488768679562
memory_coefficient,0.0,0.0
